Data;Zamkniecie
10/22/2020;3176,4
10/23/2020;3204,4
10/26/2020;3207,04
10/27/2020;3286,33
10/28/2020;3162,78
10/29/2020;3211,01
10/30/2020;3036,15
11/2/2020;3004,48
11/3/2020;3048,41
11/4/2020;3241,16
11/5/2020;3322
11/6/2020;3311,37
11/9/2020;3143,74
11/10/2020;3035,02
11/11/2020;3137,39
11/12/2020;3110,28
11/13/2020;3128,81
11/16/2020;3131,06
11/17/2020;3135,66
11/18/2020;3105,46
11/19/2020;3117,02
11/20/2020;3099,4
11/23/2020;3098,39
11/24/2020;3118,06
11/25/2020;3185,07
11/27/2020;3195,34
11/30/2020;3168,04
12/1/2020;3220,08
12/2/2020;3203,53
12/3/2020;3186,73
12/4/2020;3162,58
12/7/2020;3158
12/8/2020;3177,29
12/9/2020;3104,2
12/10/2020;3101,49
12/11/2020;3116,42
12/14/2020;3156,97
12/15/2020;3165,12
12/16/2020;3240,96
12/17/2020;3236,08
12/18/2020;3201,65
12/21/2020;3206,18
12/22/2020;3206,52
12/23/2020;3185,27
12/24/2020;3172,69
12/28/2020;3283,96
12/29/2020;3322
12/30/2020;3285,85
12/31/2020;3256,93
1/4/2021;3186,63
1/5/2021;3218,51
1/6/2021;3138,38
1/7/2021;3162,16
1/8/2021;3182,7
1/11/2021;3114,21
1/12/2021;3120,83
1/13/2021;3165,89
1/14/2021;3127,47
1/15/2021;3104,25
1/19/2021;3120,76
1/20/2021;3263,38
1/21/2021;3306,99
1/22/2021;3292,23
1/25/2021;3294
1/26/2021;3326,13
1/27/2021;3232,58
1/28/2021;3237,62
1/29/2021;3206,2
2/1/2021;3342,88
2/2/2021;3380
2/3/2021;3312,53
2/4/2021;3331
2/5/2021;3352,15
2/8/2021;3322,94
2/9/2021;3305
2/10/2021;3286,58
2/11/2021;3262,13
2/12/2021;3277,71
2/16/2021;3268,95
2/17/2021;3308,64
2/18/2021;3328,23
2/19/2021;3249,9
2/22/2021;3180,74
2/23/2021;3194,5
2/24/2021;3159,53
2/25/2021;3057,16
2/26/2021;3092,93
3/1/2021;3146,14
3/2/2021;3094,53
3/3/2021;3005
3/4/2021;2977,57
3/5/2021;3000,46
